school,short_name,state,city,latitude,longitude,sum_temp,winter_temp,caucasian,research_rank,primary_care_rank,admittance_year,mcat_total_score,md_ph_d_year_last_3_years,distance_to_temple_mi,temple,pop,home,count,region
University of North Carolina at Chapel Hill School of Medicine,UNC,North Carolina,Chapel Hill,35.9062145,-79.0520881,89,50,71.3,25,5,779,512,13,21,medium,61000,591000,1,South Atlantic
"University of California, San Francisco School of Medicine",Cal San Francisco,California,San Francisco,37.7627561,-122.4594562,69,50,52.8,3,2,646,516,12,20,medium,4690000,1300000,1,West Pacific
Rosalind Franklin University of Medicine and Science - Chicago Medical School,Chicago Medical,Illinois,North Chicago,42.2997587,-87.8598145,84,35,47.7,,,,,NA,20,medium,23600,312000,1,Midwest East North Central
Morehouse School of Medicine,Morehouse,Georgia,Atlanta,33.7428366,-84.4117443,88,55,40.4,,,,,NA,19,close,4600000,390000,1,South Atlantic
Wayne State University School of Medicine,Wayne State,Michigan,Detroit,42.354659,-83.0556337,83,32,14.4,68,86,1186,512,5,19,close,4392000,66000,1,Midwest East North Central
Vanderbilt University School of Medicine,Vanderbilt,Tennessee,Nashville,36.1432484,-86.8004285,90,29,65.5,13,43,409,520,16,19,close,1960000,437000,1,South East Central
"University of California, Davis School of Medicine",Cal Davis,California,Davis,38.5530095,-121.4525282,86,62,62.6,51,8,490,511,3,18,close,68640,875000,1,West Pacific
University of Louisville School of Medicine,Louisville,Kentucky,Louisville,38.2498351,-85.7475148,89,40,69.92,87,85,642,507,2,17,close,1260000,228000,1,South East Central
University of Minnesota Medical School,Minnesota,Minnesota,Minneapolis ,44.9720736,-93.2328501,82,22,63.6,43,3,1033,511,9,17,close,3650000,342000,1,Midwest West North Central
Albert Einstein College of Medicine of Yeshiva University,Albert Einstein,New York,Bronx,40.8508611,-73.8453678,84,39,41.3,37,56,782,516,15,17,close,19120000,759000,1,Northeast Mid-Atlantic
Keck School of Medicine of the University of Southern California,USC,California,Los Angeles,34.0607106,-118.2057739,85,55,48.9,28,52,729,517,3,16,close,18700000,965000,1,West Pacific
University of Medicine & Dentistry of New Jersey - New Jersey Medical School,Rutgers 2,New Jersey,Newark,40.7404073,-74.1906912,87,39,26.8,74,,742,513,NA,16,close,282000,402000,1,Northeast Mid-Atlantic
"University of Tennessee, Memphis College of Medicine",Memphis Tennessee,Tennessee,Memphis,35.1405125,-90.0305146,92,32,27.9,68,26,696,512,NA,16,close,1342000,149000,1,South East Central
University of Alabama School of Medicine,Alabama,Alabama,Birmingham,33.499512,-86.810181,90,56,26.6,32,26,806,509,10,15,close,1115289,169900,1,South East Central
University of Kansas School of Medicine,KU,Kansas,Kansas City,39.0562041,-94.6113581,91,38,53.9,64,10,846,510,6,15,close,2170000,171000,1,Midwest West North Central
Saint Louis University School of Medicine,Saint Louis,Missouri,St. Louis,38.6221881,-90.237707,90,40,46.53,73,56,718,513,3,15,close,2800000,172000,1,Midwest West North Central
University of Colorado Health Sciences Center,Colorado,Colorado,Denver,39.7464054,-105.0022068,88,45,80.9,27,6,697,514,10,14,close,2990000,575000,1,West Mountain
Washington University School of Medicine,Washington St Louis,Missouri,St. Louis,38.634886,-90.2628788,90,40,46.53,11,56,448,521,25,14,close,2800000,172000,1,Midwest West North Central
Emory University School of Medicine,Emory,Georgia,Atlanta,33.790135,-84.3254849,88,55,40.4,22,42,593,514,12,13.6,close,4600000,390000,1,South Atlantic
Boston University School of Medicine,Boston U,Massachusetts,Boston,42.3361822,-71.0722468,82,37,52.1,32,36,647,517,NA,13,close,4870000,739000,1,Northeast New England
University of Missouri - Kansas City School of Medicine,KC Missouri,Missouri,Kansas City,39.083167,-94.5754191,89,39,60.3,85,52,513,509,NA,13,close,2170000,226000,1,Midwest West North Central
SUNY Downstate Medical Center College of Medicine,SUNY Downstate,New York,Brooklyn,40.6552617,-73.9450759,84,39,41.3,,,,,NA,12.3,close,19120000,759000,1,Northeast Mid-Atlantic
University of New Mexico School of Medicine,New Mexico,New Mexico,Albuquerque,35.0897475,-106.6111286,93,49,70.3,87,16,429,505,2,12,close,923000,304000,1,West Mountain
"University of Texas Health San Antonio, Long School of Medicine",Texas San Antonio,Texas,San Antonio,29.5074845,-98.5754534,96,40,80.34,47,36,857,518,6,12,close,2560000,293000,1,South West Central
University of Washington School of Medicine,Washington,Washington,Seattle,47.6489136,-122.3065775,72,39,65.8,9,1,1092,510,10,12,close,4010000,984000,1,West Pacific
University of South Florida College of Medicine,South Florida,Florida,Tampa,28.0649837,-82.4250332,86,70,44,46,56,726,518,NA,9.8,close,3240000,405000,1,South Atlantic
Loma Linda University School of Medicine ,Loma Linda,California,Loma Linda ,34.0504666,-117.2646764,95,62,53.6,,,,,NA,9.6,close,24935,591000,1,West Pacific
Howard University College of Medicine,Howard,DC,Washington,38.9188587,-77.0200725,79,35,46,,68,470,504,NA,9.3,close,5434000,6.00E+05,1,South Atlantic
Georgetown University School of Medicine,Georgetown,DC,Washington,38.9118112,-77.0770024,79,35,46,56,90,809,512,5,9.2,close,5434000,6.00E+05,1,South Atlantic
Ohio State University College of Medicine,Ohio State,Ohio,Columbus ,39.9939334,-83.0169184,85,20,58.64,30,32,830,515,10,9,close,2130000,237000,1,Midwest East North Central
Oregon Health Sciences University School of Medicine,Oregon,Oregon,Portland,45.4991229,-122.6859844,80,37,75.3,32,4,597,510,9,9,close,2510000,6.00E+05,1,West Pacific
"University of Texas, Southwestern Med Center",Texas Southwestern,Texas ,Dallas,32.8126824,-96.8399138,96,37,57.7,25,16,905,517,NA,8.5,close,7600000,321000,1,South West Central
University of Arizona College of Medicine,Arizona,Arizona,Tucson,32.240768,-110.944077,94,60,69.3,74,78,491,508,8,7,close,1043433,311000,1,West Mountain
